experiment,use_normalizer,use_tabular,best_epoch,train_seconds,f1_macro,precision_macro,recall_macro,accuracy,f1_weighted
exp1_xlmr_only,False,False,4,418.7,0.6235460556398962,0.6072241778948185,0.6625691813317954,0.6423791821561339,0.6345865876439153
exp2_xlmr_teencode,False,False,4,455.5,0.654832869660353,0.6402015426174449,0.6869225539941587,0.6646840148698885,0.6593565212482582
exp3_full_fusion,False,True,3,446.9,0.6454135620763665,0.6303658642559781,0.6738510359320414,0.6587360594795539,0.6549940962000965
